bin_lower,bin_upper,n_rows,share
0.0,0.1,14172,0.5586565752128666
0.1,0.2,4505,0.17758593503626616
0.2,0.30000000000000004,2617,0.10316146326080101
0.30000000000000004,0.4,1874,0.0738725953957742
0.4,0.5,1260,0.04966887417218543
0.5,0.6000000000000001,589,0.023218227688426366
0.6000000000000001,0.7000000000000001,286,0.011274046042257962
0.7000000000000001,0.8,64,0.002522863450015768
0.8,0.9,1,3.941974140649637e-05
0.9,1.0,0,0.0
