scenario,split,threshold,recall,precision,f1,tp,fp,fn,tn
default_half,calibration,0.5,0.1519094766619519,0.5712765957446808,0.24,537,403,2998,21430
default_half,test,0.5,0.1571650869995756,0.5631018753167765,0.24574209245742093,1111,862,5958,42805
max_f1,calibration,0.25,0.5864214992927864,0.3912797281993205,0.46937620287558024,2073,3225,1462,18608
max_f1,test,0.25,0.5832508134106663,0.3910280728376328,0.46817691477885653,4123,6421,2946,37246
recall_floor_050,calibration,0.29,0.5185289957567185,0.42157313707451705,0.4650513763795509,1833,2515,1702,19318
recall_floor_050,test,0.29,0.5053048521714528,0.4174848059841047,0.457216,3572,4984,3497,38683
recall_floor_075,calibration,0.15,0.7612446958981612,0.31385584324702587,0.44446279626723917,2691,5883,844,15950
recall_floor_075,test,0.15,0.7694157589475173,0.316699662280191,0.4487068432124737,5439,11735,1630,31932
