contract,brier,log_loss,roc_auc,pr_auc
none,0.09694041622410707,0.3138282987996452,0.8270598968082975,0.43242090376915376
sigmoid,0.09696483272362232,0.3139141339651941,0.8269726458352269,0.43187952529584955
isotonic,0.09700047604104262,0.3167407619855669,0.8252991283778088,0.4250651890047669
