comparison,loss,mean_delta,ci_lower,ci_upper,n_resamples,confidence,random_seed
sigmoid - none,brier,2.441649951526566e-05,-5.6224821839420355e-06,5.456214777771047e-05,10000,0.95,42
sigmoid - none,log_loss,8.583516554885595e-05,1.427183404578269e-06,0.00016864090359176178,10000,0.95,42
isotonic - none,brier,6.005981693556381e-05,-0.00011151472362645168,0.00023179039917636482,10000,0.95,42
isotonic - none,log_loss,0.0029124631859216697,0.00015104580355129526,0.006912590182665396,10000,0.95,42
